,yag,yoko,kk,aig,airiki,vs2,vs3,vs4,vs5,2,3,4,5,aifuri
habu,0.7161,0.6824,0.625,0.6913,0.5833,0.7037,0.8136,0.7771,0.7563,0.6,0.4286,0.6757,0.6222,
fuziis,0.9123,0.6111,0.8209,0.7714,0.8889,0.8929,0.9231,0.84,0.8929,,,,,
watanabe,0.6723,0.6395,0.6987,0.662,0.6667,0.7,0.6071,0.6515,0.6,,,0.3571,0.5,
satouy,0.6272,0.6053,0.5054,0.5732,0.3846,0.7333,0.717,0.6644,0.6235,0.5259,0.5455,0.64,0.5106,0.4865
sugai,0.6786,0.7826,0.6154,0.25,0.6364,0.7,0.75,0.5,0.6667,0.7333,0.717,0.4667,0.6554,0.697
kubo,,,,,,,,0.7368,,0.5435,0.5706,0.585,0.5507,0.6165
suzuki,0.4286,,,,,,,,,0.5,0.5288,0.4613,0.6229,0.5275
fuziit,0.537,,,,0.5556,,0.8333,0.5556,,0.6429,0.6447,0.5679,0.4275,0.5816
saitou,0.6914,0.7059,0.5625,0.5714,0.4,0.5385,0.7273,0.7368,0.7895,,,,,0.6667
toyoshima,0.6631,0.6953,0.6769,0.625,0.7778,0.7692,0.55,0.6958,0.6341,,0.5455,,0.8077,0.4667
hirose,0.5765,0.6316,0.5439,0.4545,0.7,0.7619,0.6875,0.6538,0.6667,,0.6875,0.6638,0.678,0.7273
itotani,0.5714,0.62,0.5851,0.5292,0.7826,0.7857,0.6111,0.5833,0.7714,0.6111,,,0.3077,
satoua,0.6456,0.6967,0.5513,0.5833,0.4375,0.8065,0.6923,0.8065,0.6286,,0.4163,,0.5556,0.875
nagase,0.6923,0.7538,0.6786,0.7333,0.6364,0.75,0.6875,0.84,0.8077,,0.7097,0.7143,0.5952,0.7368
yamazaki,0.6286,0.618,0.5636,0.5904,0.7097,0.7619,0.6316,0.6792,0.7105,0.5556,0.4,0.3333,0.6667,0.4762
inaba,0.6491,0.5319,0.619,0.5439,0.3636,0.5909,0.5714,0.6786,0.7292,,,,0.7273,0.8571
miura,0.5668,0.4892,0.4741,0.675,0.6667,0.3636,0.5814,0.5325,0.5938,0.5882,0.381,0.5946,,
kimura,0.538,0.5789,0.5854,0.5979,,0.4571,0.697,0.6829,0.6774,0.4571,,,,
gouda,0.6058,0.5135,0.4991,0.6667,,0.6563,0.7436,0.6691,0.5676,,,,,
kondou,0.6923,0.5883,0.6346,0.6341,0.6667,1,0.5,0.7,0.5714,,,,,
senda,0.6588,0.6471,0.6753,0.75,0.8,0.6667,0.8,0.68,0.72,,,,,0.8
yashiki,0.5572,0.5102,0.4359,0.5748,,0.5385,0.7381,0.6286,0.6078,0.4667,,0.6,0.5625,
matsuo,0.5043,0.5371,0.5361,0.5612,0.3636,0.4583,0.65,0.6585,0.5152,,,0.5556,0.5385,0.44
akutsu,0.5172,0.5426,0.44,0.4727,0.6667,0.8571,0.6111,0.6042,0.5952,0.65,0.4286,0.5897,0.6,0.7143
sasaki,0.5775,0.75,0.5385,0.7083,0.7778,0.8,0.5833,0.6522,0.6957,,0.5714,,,0.875
yokoyama,0.65,0.6508,0.4286,0.6129,0.6364,0.7619,0.5385,0.7097,0.5417,,0.52,0.5714,0.5714,0.6667
